0 1491.45
0.000206204 1491.4
0.000412409 1491.24
0.000618613 1490.97
0.000824817 1490.59
0.00103102 1490.06
0.00123723 1489.38
0.00144343 1488.51
0.00164963 1487.43
0.00185584 1486.07
0.00206204 1484.38
0.00226825 1482.27
0.00247445 1479.63
0.00268066 1476.3
0.00288686 1472.08
0.00309306 1466.69
0.00329927 1459.71
0.00350547 1450.53
0.00371168 1438.35
0.00391788 1422
0.00412409 1399.77
0.00433029 1369.26
0.00453649 1327.34
0.0047427 1270.66
0.0049489 1198.25
0.005 1177.94
0.0050511 1157.63
0.0052573 1078.84
0.00546351 1024.42
0.00566971 1003.75
0.00587591 1000.23
0.00608212 1000
0.00628832 1000
0.00649453 1000
0.00670073 1000
0.00690694 1000
0.00711314 1000
0.00731934 1000
0.00752555 1000
0.00773175 1000
0.00793796 1000
0.00814416 1000
0.00835037 1000
0.00855657 1000
0.00876277 1000
0.00896898 1000
0.00917518 1000
0.00938139 1000
0.00958759 1000
0.0097938 1000
0.01 1000
